"FEN,Evaluation"
"8/5p2/r2k3p/P4K1p/R7/6P1/5P2/8 b - -,252"
"8/2k2p2/r6p/P4K1p/R7/6P1/5P2/8 w - -,303"
"8/8/4K1k1/3B4/8/8/4N3/8 b - -,185"
"8/8/8/8/5K2/2k1N3/8/5B2 w - -,189"
"8/8/6R1/8/8/4K3/7p/5kr1 w - -,-245"
"8/8/3k4/8/8/1B6/4K3/6N1 w - -,209"
"8/8/2k5/8/8/2K5/4N3/5B2 b - -,205"
"8/8/8/3k4/8/2K3N1/8/5B2 b - -,205"
"8/8/8/4k3/8/2K3N1/8/5B2 w - -,203"
"8/8/3k4/8/2B5/7N/4K3/8 w - -,216"
"8/2k5/3N4/3K4/4B3/8/8/8 b - -,180"
"8/8/2kN4/4K3/2B5/8/8/8 b - -,167"
"8/5p2/r6p/P2k2P1/R5P1/2K5/5P2/8 b - -,393"
"2k1R2r/5R2/p2b4/2p5/8/2P5/P7/1K6 b - -,-370"
"8/8/8/8/8/1NK5/2B5/3k4 b - -,175"
"8/8/k7/2K5/5B2/4N3/8/8 b - -,212"
"8/8/8/2k5/8/3B4/3K2N1/8 w - -,179"
"8/5k2/3n1b2/8/5BP1/8/1r3PK1/1B6 b - -,-347"
"8/8/4K3/2NB4/8/8/2k5/8 w - -,188"
"8/8/3N4/2k5/8/6B1/8/4K3 w - -,227"
"8/5B2/8/5k2/3N4/8/4K3/8 b - -,204"
"8/6N1/5k2/3K4/8/7B/8/8 w - -,203"
"8/8/6N1/3B2K1/8/6k1/8/8 b - -,165"
"8/8/4B3/5K2/3k4/8/4N3/8 b - -,196"
"8/8/1k6/3K1N2/3B4/8/8/8 b - -,208"
"8/8/4k3/8/4K3/6N1/8/6B1 w - -,255"
"8/8/4k3/5N2/4K3/8/8/6B1 b - -,239"
"8/8/3B4/3k4/2N5/2K5/8/8 b - -,178"
"8/7p/6k1/8/1P1p4/1R5P/5PK1/3r4 w - -,368"
"8/8/BP2k2p/4bpP1/8/8/3K1Bb1/8 b - -,-272"
"8/8/BP2k3/4bpp1/8/8/3K1Bb1/8 w - -,-354"
"2B5/8/1P2k3/4bpp1/8/8/3K1Bb1/8 b - -,-350"
"2B5/8/1P3k2/4bpp1/8/8/3K1Bb1/8 w - -,-376"
"2B5/8/1Pb2k2/4bpp1/8/8/4KB2/8 w - -,-376"
"8/8/1P3k2/4b1p1/2b2pB1/8/3K1B2/8 b - -,-260"
"8/8/1P2bk2/4b1p1/5pB1/8/3K1B2/8 w - -,-159"
"8/8/1P2bk2/4b1p1/5p2/5B2/3K1B2/8 b - -,-282"
"8/8/1P2bk2/4b3/5pp1/5B2/3K1B2/8 w - -,-267"
"8/8/1P2bk2/4b3/4Bp2/6p1/3K1B2/8 w - -,-325"
"1b6/1P6/2B5/5k1b/8/4Bpp1/8/6K1 w - -,-335"
"8/3N4/4B3/2K5/8/k7/8/8 w - -,213"
"4K3/4P3/R5k1/8/8/8/p7/r7 b - -,261"
"8/8/5k2/1B3N2/5K2/8/8/8 w - -,186"
"8/8/2k5/K6B/8/1N6/8/8 b - -,210"
"8/k7/2K5/2N5/1B6/8/8/8 w - -,186"
"8/8/8/4k3/2B5/5K2/2N5/8 b - -,205"
"8/8/8/5k2/2B5/4NK2/8/8 b - -,203"
"8/8/8/2KB4/8/4k2N/8/8 b - -,204"
"8/8/2K5/3N4/8/1kB5/8/8 b - -,178"
"8/8/2K5/3N4/8/2B5/2k5/8 w - -,175"
"8/2K5/k1B5/8/N7/8/8/8 b - -,234"
"8/8/2k5/K7/8/4N1B1/8/8 b - -,232"
"8/8/8/K1k5/8/4N1B1/8/8 w - -,279"
"8/8/8/2k5/K7/4N1B1/8/8 b - -,211"
"8/8/7B/2K5/8/3kN3/8/8 b - -,193"
"8/8/7B/2K5/4k3/4N3/8/8 w - -,201"
"8/8/2K5/1B6/1k6/5N2/8/8 b - -,209"
"8/8/8/5K2/8/8/4Bk2/5N2 w - -,163"
"7k/8/1p1pp3/1r5p/7P/5NK1/3R4/8 w - -,312"
"7k/8/1p1Rp3/1r5p/7P/5NK1/8/8 b - -,332"
"8/6k1/1p2R3/1r5p/7P/5NK1/8/8 b - -,353"
"8/6k1/1p2R3/7p/1r5P/5NK1/8/8 w - -,360"
"8/8/1N1K4/3B4/8/8/1k6/8 w - -,189"
"8/k2K4/3N4/1B6/8/8/8/8 b - -,196"
"8/8/4k3/3B4/3K4/8/5N2/8 b - -,158"
"8/5p2/r5p1/P1k4P/R4P1P/1K6/8/8 b - -,319"
"8/5p2/r7/P1k4p/R4P1P/1K6/8/8 w - -,376"
"8/5p2/r7/P1k4p/R4P1P/2K5/8/8 b - -,393"
"8/5p2/r7/P1k4p/5P1P/3K4/8/R7 b - -,398"
"8/8/8/5B2/1K6/3N4/8/2k5 b - -,168"
"8/3N4/4K3/8/3kB3/8/8/8 w - -,196"
"8/8/6k1/8/3KN3/3B4/8/8 b - -,216"
"8/8/2B3K1/4r2p/8/2N5/2k5/R7 w - -,257"
"8/3k4/5N2/4K3/8/1B6/8/8 b - -,218"
"8/1p5p/8/PP2Kp2/6b1/1k6/8/8 w - -,386"
"8/8/8/3BK3/4N3/4k3/8/8 b - -,283"
"8/5KP1/8/4k3/3R4/8/8/7r b - -,264"
"8/5KP1/8/4k3/3R4/8/8/5r2 w - -,264"
"6B1/4k3/8/8/3K4/4N3/8/8 w - -,167"
"8/8/3N4/8/3BK1k1/8/8/8 b - -,193"
"8/B7/k7/8/2N5/3K4/8/8 w - -,209"
"k7/P4R2/8/1K6/6rp/6P1/5P2/8 w - -,322"
"8/8/1NKB4/8/3k4/8/8/8 w - -,171"
"8/8/2KB4/3N4/2k5/8/8/8 w - -,164"
"4K3/2k5/8/1B2N3/8/8/8/8 b - -,190"
"8/8/3bk3/7p/7p/8/5PK1/8 w - -,-178"
"8/8/6R1/3k2Pp/r7/4KP2/8/8 w - -,377"
"8/6K1/6B1/3k4/2N5/8/8/8 w - -,197"
"8/1B6/8/8/1N6/5k2/8/4K3 b - -,208"
"8/8/k7/2K1N3/8/8/8/6B1 b - -,215"
"8/8/8/8/2K1k1B1/8/4N3/8 w - -,183"
"8/R7/3kb3/4B2p/p2K1P1P/6r1/8/8 b - -,378"
"8/5K1k/8/5B2/8/5N2/8/8 b - -,198"
"8/4NK2/8/8/5k2/3B4/8/8 w - -,166"
"8/N1P5/8/2kn1b2/p7/K7/8/8 b - -,-212"
"8/8/3k4/5B2/4K3/8/4N3/8 b - -,193"
"8/8/5N2/8/3B1K2/8/8/7k w - -,206"
"8/8/8/8/1Bk5/4K3/2N5/8 w - -,196"
"2r3k1/7p/5Rp1/8/7P/8/1B4P1/6K1 b - -,370"
"8/8/8/8/3kB3/8/3K1N2/8 b - -,196"
"8/8/8/2k2K2/5N2/8/6B1/8 w - -,182"
"8/8/8/3k4/5K2/6NB/8/8 b - -,183"
"8/8/5k2/4p3/2PbR3/1r1K1P2/4N2P/8 w - -,400"
"8/8/1k2KN2/3B4/8/8/8/8 b - -,215"
"8/8/8/8/2BN4/8/8/k2K4 b - -,196"
"8/2k5/5p1p/K1P5/4Bn1P/8/6P1/8 w - -,395"
"8/2B5/8/3N4/2K5/8/2k5/8 b - -,171"
"8/5p2/r4k2/P7/R4P2/5K2/8/8 b - -,373"
"7k/5n2/8/8/8/2b3P1/4RP1P/7K b - -,396"
"8/6p1/1Nr2k2/pR5p/4K3/P6P/8/8 b - -,335"
"8/8/8/8/2B2K2/2kN4/8/8 w - -,180"
"8/3B4/6k1/8/3K4/5N2/8/8 b - -,204"
"5k2/5p2/3p4/3P1B2/4P3/2p3P1/8/2n1K3 b - -,-259"
"5k2/5p2/3p4/3P1B2/4P3/6P1/2p5/2n1K3 w - -,-284"
"8/8/3n1k1p/8/1p3K2/3B4/1PP4P/8 b - -,226"
"8/8/4B3/2N5/5K2/3k4/8/8 b - -,188"
"8/8/4B3/2N5/4K3/8/2k5/8 b - -,191"
"8/8/2k5/8/3K4/6N1/8/2B5 w - -,200"
"8/6N1/8/3Bk3/2K5/8/8/8 b - -,268"
"8/8/8/3B4/8/1k6/2N5/2K5 b - -,188"
"8/8/3k4/8/4B3/2K1N3/8/8 b - -,167"
"8/8/8/5B2/8/1k6/8/2K1N3 w - -,196"
"8/8/1B6/8/4N3/3k1K2/8/8 b - -,150"
"8/8/8/4k3/8/8/4B3/4K1N1 b - -,222"
"8/8/8/5B2/2N5/8/1K2k3/8 b - -,171"
"8/8/8/5B2/2N5/5k2/1K6/8 w - -,160"
"8/3N4/2K1k3/3B4/8/8/8/8 b - -,210"
"8/8/8/4k3/8/3K4/6B1/5N2 w - -,169"
"8/8/2k5/2N1K3/8/8/8/6B1 b - -,340"
"8/8/4B3/1N6/8/1K6/3k4/8 b - -,180"
"8/3k4/BK2N3/8/8/8/8/8 w - -,172"
"5k2/8/3KB3/8/1N6/8/8/8 w - -,197"
"1r6/8/5R2/6k1/8/8/1P6/1K6 w - -,261"
"1r6/8/8/6k1/8/8/1P3R2/1K6 b - -,271"
"8/1p3k2/1Pr5/2BK4/5P2/8/8/8 b - -,-397"
"8/1p6/1Pr2k2/2BK4/5P2/8/8/8 w - -,-397"
"8/8/4pk2/1p4r1/1P3p2/1KP5/R5P1/8 w - -,-391"
"8/8/5K2/5B2/3k4/5N2/8/8 b - -,160"
"1N6/3B4/8/8/8/8/k1K5/8 b - -,217"
"8/5B2/3K4/4Nk2/8/8/8/8 b - -,182"
"3K4/8/4B3/8/1N6/8/1k6/8 b - -,218"
"8/8/8/8/5K2/3k1B2/4N3/8 w - -,185"
"8/8/8/8/3k1K2/5BN1/8/8 w - -,182"
"8/1pNp4/2r5/2P5/2k3N1/2P5/1K6/8 w - -,351"
"8/8/2K5/3N4/k7/8/7B/8 b - -,193"
"8/8/8/4KN2/6k1/3B4/8/8 b - -,229"
"8/8/8/8/K7/B3N3/1k6/8 b - -,165"
"8/5B2/5k2/8/3N4/2K5/8/8 w - -,170"
"3k4/8/4B3/4K2N/8/8/8/8 b - -,289"
"8/4k3/3NB3/2K5/8/8/8/8 w - -,209"
"8/8/3KB3/k7/3N4/8/8/8 b - -,214"
"8/8/8/5B2/2k5/4K3/5N2/8 b - -,157"
"8/2N5/8/2KB4/8/8/1k6/8 w - -,210"
"2B5/8/1P3k2/4bp2/6p1/8/4KBb1/8 w - -,-336"
"2B5/8/1P3k2/4bp2/6pB/8/4K1b1/8 b - -,-399"
"2B5/8/1P4k1/4bp2/6pB/8/4K1b1/8 w - -,-356"
"2BB4/8/1P4k1/4bp2/6p1/8/4K1b1/8 b - -,-390"
"2BB4/8/1P4k1/4bp2/4b1p1/8/5K2/8 w - -,-379"
"8/8/8/8/4k3/8/5B2/5BK1 b - -,310"
"8/8/5K2/2k5/8/1BN5/8/8 w - -,200"
"8/8/2k3N1/8/3K4/1B6/8/8 b - -,199"
"8/8/2K5/1BN5/3k4/8/8/8 b - -,197"
"8/8/2N5/8/2k1B3/8/3K4/8 b - -,165"
"8/8/2N5/2k5/4B3/8/3K4/8 w - -,175"
"8/7k/5K2/3N4/6B1/8/8/8 b - -,182"
"6k1/5p2/K5p1/8/6r1/1P6/P4R2/8 b - -,173"
"8/4N3/8/8/2k1B3/4K3/8/8 b - -,185"
"6k1/4K3/3N4/3B4/8/8/8/8 b - -,207"
"8/8/8/1k6/3N4/8/1K6/1B6 b - -,183"
"8/5KP1/8/4k3/3R4/7r/8/8 b - -,260"
"8/5KP1/8/4k3/3R4/5r2/8/8 w - -,263"
"1NB5/8/8/8/2K2k2/8/8/8 b - -,195"
"1NB5/8/8/4k3/2K5/8/8/8 w - -,194"
"8/1p5R/4k1p1/p7/P7/4K3/1r5P/8 w - -,-210"
"8/2K5/2N5/8/8/7B/8/1k6 b - -,207"
"8/2K5/8/8/1N6/7B/8/k7 b - -,203"
"6N1/5K2/8/3B2k1/8/8/8/8 w - -,181"
"8/8/6k1/8/3N2K1/8/4B3/8 b - -,324"
"8/8/5k2/8/3N2K1/8/4B3/8 w - -,241"
"8/8/3N4/3k1K2/8/8/7B/8 w - -,193"
"8/8/2k5/8/4K3/6B1/3N4/8 b - -,208"
"8/8/8/8/3k4/6N1/4B3/4K3 b - -,192"
"8/8/8/4N3/4K3/1Bk5/8/8 w - -,163"
"8/8/5K2/3k1N2/8/3B4/8/8 b - -,171"
"8/5p2/r5p1/P3k1P1/7P/6K1/8/R7 w - -,287"
"2B5/3K4/8/4N3/8/2k5/8/8 b - -,206"
"2B5/8/4K3/4N3/3k4/8/8/8 w - -,206"
"8/3B4/8/1N1K4/8/1k6/8/8 w - -,187"
"8/k7/1N6/2K5/8/8/5B2/8 w - -,196"
"8/8/8/1B6/3k4/1KN5/8/8 b - -,200"
"8/8/8/8/3N1k2/2K5/4B3/8 w - -,196"
"8/4k3/4N1p1/6N1/5K2/8/8/8 w - -,295"
"8/5p2/r5Pp/P1k5/R4KP1/8/5P2/8 b - -,273"
"8/3K4/1kN5/8/8/8/8/5B2 b - -,223"
"8/8/8/8/2k5/4N1B1/3K4/8 b - -,225"
"8/4K1k1/8/8/8/8/8/5BN1 b - -,213"
"8/8/8/3N4/3k4/8/4B3/4K3 w - -,195"
"3k4/7p/3nB3/2b5/6K1/8/8/8 w - -,-253"
"8/4k3/8/4NB2/3K4/8/8/8 b - -,214"
"8/8/3k4/6N1/8/8/6B1/4K3 b - -,216"
"5r2/1P1R1pk1/8/3B2P1/8/5Kb1/8/8 b - -,245"
"7k/5R2/7p/3n4/4p2P/4P1K1/2r2P2/8 b - -,-305"
"8/B7/8/8/5k2/3K4/3N4/8 b - -,173"
"8/8/4N3/3B3k/5K2/8/8/8 b - -,212"
"8/8/2K1B1N1/8/3k4/8/8/8 b - -,205"
"8/8/5Rb1/7k/8/6KP/8/8 w - -,314"
"8/2B5/4K3/2kN4/8/8/8/8 w - -,205"
"R3k3/6p1/5p2/4n2p/8/7P/5PP1/6K1 b - -,314"
"8/2N5/8/8/1KB5/8/1k6/8 b - -,210"
"1R6/8/8/3b4/6pk/8/5K1P/8 b - -,309"
"8/8/r3k1pp/P7/R2K4/6P1/5P2/8 b - -,330"
"8/8/r2k2pp/P7/R2K1P2/6P1/8/8 b - -,362"
"8/8/4k1K1/3N4/8/1B6/8/8 w - -,155"
"8/8/8/3N4/2B5/5k2/3K4/8 w - -,190"
"1N6/8/4B3/1K6/3k4/8/8/8 w - -,210"
"2B5/8/N7/1K6/8/8/8/2k5 w - -,211"
"6B1/8/8/2N5/1K1k4/8/8/8 w - -,192"
"6k1/4R3/6p1/2r5/5KPp/7P/5P2/8 b - -,342"
"6k1/5ppp/8/8/8/5N2/5KPP/8 b - -,392"
"8/8/8/8/2KB4/5k2/6N1/8 w - -,184"
"5k2/7p/2p5/8/6R1/6P1/1r3P1P/5K2 w - -,198"
"5k2/7p/2p5/8/2R5/6P1/1r3P1P/5K2 b - -,167"
"5k2/7p/1rp5/8/2R5/6P1/5P1P/5K2 w - -,206"
"8/5k1p/1rp5/8/2R5/6P1/4KP1P/8 w - -,229"
"8/5k1p/1rp5/8/7R/6P1/4KP1P/8 b - -,217"
"8/7p/1rp3k1/8/7R/6P1/4KP1P/8 w - -,218"
"8/7p/1rp3k1/8/5R2/6P1/4KP1P/8 b - -,209"
"8/7p/2p3k1/8/5R2/1r4P1/4KP1P/8 w - -,247"
"8/7p/1rp3k1/8/2R5/4K1P1/5P1P/8 b - -,214"
"8/7p/1rp5/5k2/2R5/4K1P1/5P1P/8 w - -,242"
"8/7p/1rp5/5k2/2R3P1/4K3/5P1P/8 b - -,277"
"8/7p/1rp1k3/8/2R2PP1/4K3/7P/8 b - -,364"
"8/8/8/1B1k4/5N2/8/4K3/8 b - -,210"
"8/2B5/k2K4/8/2N5/8/8/8 b - -,176"
"8/4k3/2B5/2K5/3N4/8/8/8 b - -,282"
"8/8/2B2k2/2K5/3N4/8/8/8 w - -,243"
"8/8/4k2K/8/4N3/3B4/8/8 w - -,184"
"8/8/2B5/1N6/2K2k2/8/8/8 w - -,195"
"8/7k/8/6KN/8/1B6/8/8 w - -,184"
"8/p1r5/1p6/4k2p/P7/3P4/1P3RK1/8 b - -,-303"
"8/8/4N3/7B/4k3/2K5/8/8 w - -,163"
"8/8/4N1B1/8/4k3/2K5/8/8 b - -,163"
"2n5/1p6/1P2k3/2PNp3/2K5/6p1/6P1/8 w - -,373"
"8/8/8/4k3/2K5/2N5/8/5B2 b - -,200"
"8/8/4k3/3N4/3K4/8/8/7B b - -,183"
"8/1k6/8/1K6/1BN5/8/8/8 b - -,200"
"8/8/8/2k5/8/5N2/3K4/1B6 b - -,203"
"8/5k1p/3r2p1/8/8/8/1B4PP/6K1 w - -,-280"
"8/8/8/5B2/2k5/8/3K4/2N5 b - -,196"
"8/8/8/3k1B2/8/8/3K4/2N5 w - -,169"
"8/8/8/4kB2/8/4K3/8/2N5 w - -,176"
"2B5/8/2N5/8/k1K5/8/8/8 b - -,170"
"8/8/4B3/7k/4K3/8/8/6N1 b - -,202"
"8/8/4K3/8/8/4k1N1/7B/8 w - -,201"
"K7/2k1P3/5r2/8/6B1/8/8/8 w - -,215"
"r5R1/7P/5p2/5N1k/3p4/3K4/8/8 b - -,386"
"8/8/3k4/1B6/4K3/5N2/8/8 b - -,207"
"8/8/8/8/6pk/5b2/5K1P/1R6 b - -,309"
"8/8/8/8/3N4/1K6/4B3/2k5 b - -,195"
"8/8/8/3N4/1K6/1B6/2k5/8 b - -,202"
"5B2/8/5N2/1k6/8/8/8/4K3 w - -,214"
"5B2/8/5N2/8/2k5/8/3K4/8 w - -,208"
"8/2PK1pk1/p2R3p/5P2/2r5/6p1/8/8 w - -,232"
"6K1/3nkP2/8/5P2/8/8/8/4b3 w - -,-266"
"8/5k2/6p1/5rP1/5P1p/4RK1P/8/8 b - -,306"
"6k1/1R4p1/7p/1p1r3P/6P1/8/6K1/8 b - -,-313"
"8/8/8/8/8/KB6/2N5/1k6 b - -,190"
"8/8/8/8/8/KB6/2N5/2k5 w - -,181"
"3r4/5ppk/R3b3/8/8/7P/5PP1/6K1 w - -,-178"
"1N6/8/3KB3/8/8/8/8/2k5 b - -,211"
"8/3k4/1K6/8/4B3/5N2/8/8 b - -,199"
"6B1/8/4N3/4k3/8/3K4/8/8 w - -,184"
"8/8/8/4k2N/2K5/3B4/8/8 b - -,200"
"8/4K3/2k5/5N2/2B5/8/8/8 w - -,183"
"7k/8/5K2/5N2/6B1/8/8/8 b - -,189"
"8/8/2k5/8/2N1B3/2K5/8/8 b - -,178"
"8/1k6/8/1N6/2K5/8/2B5/8 b - -,184"
"8/2N5/8/8/4k3/2K5/8/6B1 b - -,158"
"8/8/P1K2k1p/6p1/6P1/4b2P/8/8 w - -,-348"
"8/8/3K2N1/8/4k3/8/7B/8 w - -,161"
"8/8/B1N1K3/8/8/8/8/k7 b - -,221"
"8/5p2/r6p/P4p2/2k3PP/4K3/8/R7 w - -,308"
"1N6/2K5/8/5B2/8/8/8/1k6 b - -,202"
"8/6k1/8/4K3/4N3/7B/8/8 b - -,173"
"6B1/6K1/8/2k5/8/5N2/8/8 b - -,167"
"6B1/6K1/8/8/1k6/5N2/8/8 w - -,159"
"4B3/6R1/8/3b4/2k2b2/7K/8/8 w - -,293"
"6k1/8/4BK2/8/8/5N2/8/8 b - -,197"
"7k/1p1nR2p/2p3p1/8/8/7P/6P1/6K1 b - -,207"
"6k1/5pp1/8/4n3/8/3B3b/5PPP/6K1 w - -,-250"
"8/3r2kp/6p1/8/7P/8/6P1/2B2RK1 w - -,382"
"8/6kp/6p1/8/7P/8/6P1/2Br1RK1 b - -,350"
"8/3BK3/8/2k5/2N5/8/8/8 w - -,192"
"8/8/5p1P/3K4/1p1b3k/1P6/1PP4P/8 b - -,268"
"8/8/5p1P/3K4/1p5k/1P6/1bP4P/8 w - -,197"
"8/8/5p1P/3K4/1pP4k/1P6/1b5P/8 b - c3,264"
"8/8/P1p1p1p1/8/k2PbP2/8/2PK4/8 w - -,363"
"8/2P2k2/8/8/8/1r6/2K5/8 b - -,251"
"8/3N4/8/3k1B2/8/4K3/8/8 b - -,197"
"8/7p/1P1k4/P1n5/4bR1P/8/8/6K1 b - -,351"
"7k/1p2R2p/2p3p1/2n5/8/7P/6P1/6K1 w - -,254"
"5k2/1R6/6K1/7p/8/6P1/5r1P/8 w - -,258"
"8/8/8/8/8/8/k1K5/1N1B4 b - -,180"
"8/8/4B3/8/8/1K2N3/8/2k5 b - -,199"
"8/8/4B3/4K1N1/8/8/2k5/8 w - -,199"
"8/8/6k1/4K3/8/5B2/4N3/8 w - -,261"
"8/8/8/8/8/1NK1k3/8/3B4 b - -,185"
"2r5/5k2/5N2/8/8/1B6/1B6/6K1 b - -,158"
"8/2Bp1p2/4k3/8/8/3K2b1/2N5/8 w - -,324"
"8/3p1p2/4k3/8/8/3K2B1/2N5/8 b - -,303"
"8/2N5/2B5/2K5/5k2/8/8/8 w - -,190"
"8/8/2p5/N3r3/p7/k7/5B2/1K6 w - -,344"
"8/8/8/6k1/4K3/4N3/B7/8 b - -,202"
"8/8/8/2NKB3/8/5k2/8/8 w - -,173"
"8/8/2NBK3/1k6/8/8/8/8 w - -,200"
"8/1k6/3K1B2/8/8/4N3/8/8 b - -,196"
"2r5/R2K2k1/4P3/8/8/8/8/8 b - -,282"
"8/8/8/8/1k6/5B2/4NK2/8 w - -,202"
"8/2K5/3B4/4N3/4k3/8/8/8 w - -,150"
"8/8/8/7B/3N1k2/3K4/8/8 w - -,204"
"8/8/4BN2/3K4/8/4k3/8/8 b - -,191"
"8/8/5K2/4NB2/8/2k5/8/8 b - -,173"
"8/4k3/8/5B1N/5K2/8/8/8 b - -,186"
"2k5/1p6/p7/P1PP1K2/3b4/2p5/8/4B3 w - -,-363"
"8/8/5KB1/3k4/8/3N4/8/8 w - -,176"
"7k/8/8/8/8/5BKP/7P/8 w - -,259"
"8/8/5pk1/7p/1R2P1rP/1P3K2/5P2/8 w - -,180"
"8/8/2B5/4k3/2K5/4N3/8/8 b - -,210"
"8/8/2Bk4/8/2K5/4N3/8/8 w - -,201"
"8/8/8/3Bk3/2K5/4N3/8/8 w - -,263"
"8/4k3/8/1B2K3/2N5/8/8/8 b - -,277"
"8/1B6/8/1K6/8/1kp5/1p6/1N6 b - -,227"
"8/5pp1/6k1/3R4/5PP1/pp2K3/7P/8 w - -,-377"
"8/8/3r1kp1/2p4p/4R1PP/8/8/5K2 w - -,-282"
"8/8/3r1k2/2p4p/4R2P/8/8/5K2 w - -,-386"
"8/8/8/4k3/8/4K3/5N2/5B2 b - -,210"
"8/8/8/3K1k1N/8/5B2/8/8 b - -,204"
"8/8/2N1B3/4K3/1k6/8/8/8 b - -,156"
"6k1/8/8/1p5p/3N4/P1n3PP/7K/8 w - -,275"
"8/5k2/3K4/1BN5/8/8/8/8 w - -,166"
"5k2/8/3N4/6K1/2B5/8/8/8 b - -,187"
"1N6/8/8/4K3/4B3/8/8/k7 b - -,289"
"8/4K3/4B3/2N5/8/4k3/8/8 w - -,174"
"8/4KB2/8/2N5/4k3/8/8/8 b - -,176"
"8/8/8/5B2/8/1KN1k3/8/8 w - -,187"
"8/8/8/3N1B2/3k4/1K6/8/8 w - -,190"
"8/8/8/5B2/8/1KN5/3k4/8 b - -,196"
"8/8/B7/4N3/3k1K2/8/8/8 b - -,192"
"8/8/B7/4N3/5K2/2k5/8/8 w - -,190"
"8/3B4/5K2/4N3/8/4k3/8/8 w - -,163"
"5k2/6p1/7p/3Pr3/2N5/8/6PP/6K1 b - -,-362"
"1k6/4R3/5rpp/PK6/5P2/6P1/8/8 w - -,304"
"8/5R2/8/p2k4/2pP2P1/1p6/2b5/5RK1 b - -,274"
"8/2k5/8/4K3/8/8/2N2B2/8 w - -,250"
"8/2b1p1N1/2r4P/6R1/8/2kP4/4K3/8 b - -,294"
"8/2b1p1N1/7r/2R5/3k4/3P4/4K3/8 w - -,293"
"8/2b1p1N1/7r/8/2Rk4/3P4/4K3/8 b - -,299"
"8/2R1p1N1/5k1r/8/8/3P4/4K3/8 w - -,335"
"4N3/2R1pk2/7r/8/8/3P4/4K3/8 w - -,345"
"2R1N3/4pk2/7r/8/8/3P4/4K3/8 b - -,345"
"8/p7/1kb5/p7/8/8/1K6/8 w - -,-312"
"3K4/1r6/4Pk2/8/8/8/8/2R5 w - -,368"
"1k6/8/8/1KB5/8/2N5/8/8 b - -,198"
"8/8/5N2/8/3k1K2/3B4/8/8 w - -,162"
"8/4k3/8/3K4/2B2N2/8/8/8 b - -,213"
"8/8/8/2k5/8/8/2K1B3/2N5 w - -,184"
"3K4/8/8/8/3N4/7B/8/1k6 b - -,209"
"8/p1r5/1p6/P6p/8/3k4/1P3RK1/8 w - -,-302"
"6k1/5pp1/8/4P3/5PR1/4r2P/6PK/8 b - -,344"
"8/5ppk/8/4P3/5P2/4r1RP/6PK/8 b - -,312"
"8/8/1KP5/3r4/8/8/8/7k w - -,263"
"8/8/8/2k5/3B4/4KB2/8/8 b - -,175"
"8/8/8/8/8/1k6/8/1BKN4 b - -,180"
"8/8/8/8/8/4k3/5N2/4KB2 w - -,202"
"8/1k3p2/r7/P5p1/RK4P1/5P2/8/8 w - -,396"
"8/8/3N4/1B2k3/2K5/8/8/8 w - -,187"
"8/8/1B6/4k3/8/2K1N3/8/8 w - -,188"
"8/8/8/1B1K4/N7/8/1k6/8 b - -,210"
"8/8/2K5/1B6/N7/k7/8/8 b - -,214"
"8/8/2k5/8/3B4/8/3N4/4K3 b - -,211"
"8/8/2k2B2/8/2K5/4N3/8/8 b - -,211"
"8/1B6/8/2K5/5k2/8/2N5/8 w - -,169"
"8/8/1B6/3k4/2N5/1K6/8/8 w - -,199"
"8/4N3/3K1k2/8/8/7B/8/8 w - -,191"
"8/8/6k1/3NK3/8/7B/8/8 w - -,187"
"6B1/8/8/2KN1k2/8/8/8/8 w - -,239"
"8/8/8/4k3/2N5/4K3/5B2/8 b - -,228"
"5N2/4k3/8/8/4BK2/8/8/8 w - -,192"
"8/8/3K1k2/8/8/3B4/4N3/8 w - -,193"
"8/1B6/8/5kN1/3K4/8/8/8 w - -,210"
"8/8/8/4N3/3Bk3/8/3K4/8 w - -,192"
"8/1p2k1b1/2b1p3/7p/2R2P2/8/5K2/3R4 w - -,188"
"8/1p2k1b1/2b1p3/2R4p/5P2/8/5K2/3R4 b - -,164"
"8/1p2k3/2b1pb2/7R/5P1p/8/5K2/3R4 w - -,242"
"5k2/1p5R/2b1pb2/8/5P1p/8/5K2/3R4 w - -,396"
"k7/8/8/8/8/8/8/5BNK w - -,211"
"8/8/8/5B2/3K4/3N4/8/3k4 b - -,164"
"8/6kp/4p3/6p1/3r2p1/5R1P/5PK1/8 w - -,-370"
"8/8/8/3k4/8/3B1K2/2N5/8 b - -,196"
"8/5p2/r4k1p/P7/R4p1P/6PK/8/8 w - -,351"
"8/8/k2N4/2K5/8/8/3B4/8 b - -,210"
"8/4K3/3NB3/2k5/8/8/8/8 w - -,198"
"8/8/3K4/1B6/8/4k3/8/6N1 w - -,194"
"8/8/8/pk6/8/1B1N4/K7/8 w - -,389"
"8/8/4B3/2kN1K2/8/8/8/8 w - -,176"
"3K4/8/8/N7/8/1B6/1k6/8 w - -,199"
"8/8/8/8/N1B5/k7/4K3/8 w - -,184"
"3B2k1/6pp/8/8/4b3/8/PP3KPP/8 b - -,372"
"7R/8/8/2k5/p4K2/1p6/8/8 w - -,-271"
"4n3/2p5/8/1k6/6PP/p7/7K/2N5 b - -,-307"
"4n3/2p5/8/8/1k4PP/p7/7K/2N5 w - -,-307"
"8/2p3n1/8/6P1/1k5P/p7/7K/2N5 w - -,-307"
"8/2p3n1/8/6P1/7P/p1k4K/8/2N5 w - -,-307"
